transaction_id,date,persona,occupation,transaction_type,category,description,amount_inr,payment_method,recurring,balance_inr
AS-20260128-E023,2026-01-28,Asha,tiffin service,expense,transport,Bus/auto fare,115,cash,no,1202.0
AS-20260128-E024,2026-01-28,Asha,tiffin service,expense,vegetables,Vegetable market,209,cash,no,993.0
AS-20260129-E025,2026-01-29,Asha,tiffin service,expense,electricity,Electricity bill,347,UPI,yes,646.0
AS-20260129-E026,2026-01-29,Asha,tiffin service,expense,school,School fees/supplies,226,UPI,no,420.0
AS-20260130-E027,2026-01-30,Asha,tiffin service,expense,electricity,Electricity bill,147,UPI,yes,273.0
AS-20260130-E028,2026-01-30,Asha,tiffin service,expense,school,School fees/supplies,95,UPI,no,178.0
AS-20260202-E029,2026-02-02,Asha,tiffin service,expense,rent,House rent,62,UPI,yes,116.0
AS-20260203-E030,2026-02-03,Asha,tiffin service,expense,cooking_gas,LPG cylinder,40,UPI,yes,76.0
AS-20260204-E031,2026-02-04,Asha,tiffin service,expense,mobile,Mobile recharge,30,UPI,yes,46.0
AS-20260205-E033,2026-02-05,Asha,tiffin service,expense,vegetables,Vegetable market,189,cash,no,855.0
AS-20260205-I032,2026-02-05,Asha,tiffin service,income,work_income,weekly tiffin collection,998,UPI,yes,1044.0
AS-20260209-E034,2026-02-09,Asha,tiffin service,expense,food,Tea/snacks,63,cash,no,792.0
AS-20260210-E035,2026-02-10,Asha,tiffin service,expense,transport,Bus/auto fare,72,cash,no,720.0
AS-20260212-E037,2026-02-12,Asha,tiffin service,expense,electricity,Electricity bill,790,UPI,yes,1469.0
AS-20260212-I036,2026-02-12,Asha,tiffin service,income,work_income,family tiffin payment,1539,cash,yes,2259.0
AS-20260214-E038,2026-02-14,Asha,tiffin service,expense,electricity,Electricity bill,514,UPI,yes,955.0
AS-20260216-E039,2026-02-16,Asha,tiffin service,expense,cooking_gas,LPG cylinder,334,UPI,yes,621.0
AS-20260219-I040,2026-02-19,Asha,tiffin service,income,work_income,family tiffin payment,829,bank_transfer,yes,1450.0
AS-20260222-E041,2026-02-22,Asha,tiffin service,expense,medicine,Pharmacy,480,UPI,no,970.0
AS-20260225-E042,2026-02-25,Asha,tiffin service,expense,electricity,Electricity bill,339,UPI,yes,631.0
AS-20260226-E044,2026-02-26,Asha,tiffin service,expense,medicine,Pharmacy,457,UPI,no,1091.0
AS-20260226-E045,2026-02-26,Asha,tiffin service,expense,groceries,Kirana groceries,381,UPI,no,710.0
AS-20260226-I043,2026-02-26,Asha,tiffin service,income,work_income,weekly tiffin collection,917,bank_transfer,yes,1548.0
AS-20260227-E046,2026-02-27,Asha,tiffin service,expense,mobile,Mobile recharge,248,UPI,yes,462.0
AS-20260301-E047,2026-03-01,Asha,tiffin service,expense,vegetables,Vegetable market,145,cash,no,317.0
AS-20260303-E048,2026-03-03,Asha,tiffin service,expense,medicine,Pharmacy,110,UPI,no,207.0
AS-20260305-E050,2026-03-05,Asha,tiffin service,expense,food,Tea/snacks,165,cash,no,820.0
AS-20260305-I049,2026-03-05,Asha,tiffin service,income,work_income,weekly tiffin collection,778,bank_transfer,yes,985.0
AS-20260306-E051,2026-03-06,Asha,tiffin service,expense,mobile,Mobile recharge,276,UPI,yes,544.0
AS-20260307-E052,2026-03-07,Asha,tiffin service,expense,food,Tea/snacks,147,cash,no,397.0
AS-20260308-E053,2026-03-08,Asha,tiffin service,expense,medicine,Pharmacy,138,UPI,no,259.0
AS-20260309-E054,2026-03-09,Asha,tiffin service,expense,food,Tea/snacks,90,cash,no,169.0
AS-20260310-E055,2026-03-10,Asha,tiffin service,expense,groceries,Kirana groceries,59,UPI,no,110.0
AS-20260311-E056,2026-03-11,Asha,tiffin service,expense,transport,Bus/auto fare,38,cash,no,72.0
AS-20260312-I057,2026-03-12,Asha,tiffin service,income,work_income,office lunch payment,924,UPI,yes,996.0
AS-20260314-E058,2026-03-14,Asha,tiffin service,expense,medicine,Pharmacy,144,UPI,no,852.0
AS-20260315-E059,2026-03-15,Asha,tiffin service,expense,electricity,Electricity bill,298,UPI,yes,554.0
AS-20260315-E060,2026-03-15,Asha,tiffin service,expense,groceries,Kirana groceries,193,UPI,no,361.0
AS-20260317-E061,2026-03-17,Asha,tiffin service,expense,vegetables,Vegetable market,126,cash,no,235.0
AS-20260319-I062,2026-03-19,Asha,tiffin service,income,work_income,family tiffin payment,887,UPI,yes,1122.0
AS-20260320-E063,2026-03-20,Asha,tiffin service,expense,medicine,Pharmacy,392,UPI,no,730.0
AS-20260320-E064,2026-03-20,Asha,tiffin service,expense,transport,Bus/auto fare,64,cash,no,666.0
AS-20260321-E065,2026-03-21,Asha,tiffin service,expense,medicine,Pharmacy,137,UPI,no,529.0
AS-20260322-E066,2026-03-22,Asha,tiffin service,expense,mobile,Mobile recharge,185,UPI,yes,344.0
AS-20260323-E067,2026-03-23,Asha,tiffin service,expense,school,School fees/supplies,120,UPI,no,224.0
AS-20260324-E068,2026-03-24,Asha,tiffin service,expense,mobile,Mobile recharge,78,UPI,yes,146.0
AS-20260325-E069,2026-03-25,Asha,tiffin service,expense,cooking_gas,LPG cylinder,51,UPI,yes,95.0
AS-20260326-I070,2026-03-26,Asha,tiffin service,income,work_income,office lunch payment,924,bank_transfer,yes,1019.0
AS-20260329-E071,2026-03-29,Asha,tiffin service,expense,medicine,Pharmacy,356,UPI,no,663.0
AS-20260329-E072,2026-03-29,Asha,tiffin service,expense,cooking_gas,LPG cylinder,232,UPI,yes,431.0
AS-20260330-E073,2026-03-30,Asha,tiffin service,expense,school,School fees/supplies,150,UPI,no,281.0
AS-20260331-E074,2026-03-31,Asha,tiffin service,expense,transport,Bus/auto fare,98,cash,no,183.0
AS-20260331-E075,2026-03-31,Asha,tiffin service,expense,electricity,Electricity bill,64,UPI,yes,119.0
AS-20260401-E076,2026-04-01,Asha,tiffin service,expense,electricity,Electricity bill,41,UPI,yes,78.0
AS-20260402-E077,2026-04-02,Asha,tiffin service,expense,transport,Bus/auto fare,30,cash,no,48.0
AS-20260403-E078,2026-04-03,Asha,tiffin service,expense,cooking_gas,LPG cylinder,30,UPI,yes,18.0
AS-20260405-E080,2026-04-05,Asha,tiffin service,expense,transport,Bus/auto fare,37,cash,no,842.0
AS-20260405-I079,2026-04-05,Asha,tiffin service,income,work_income,weekly tiffin collection,861,cash,yes,879.0
AS-20260406-E081,2026-04-06,Asha,tiffin service,expense,medicine,Pharmacy,135,UPI,no,707.0
AS-20260407-E082,2026-04-07,Asha,tiffin service,expense,cooking_gas,LPG cylinder,247,UPI,yes,460.0
AS-20260408-E083,2026-04-08,Asha,tiffin service,expense,food,Tea/snacks,69,cash,no,391.0
AS-20260409-E084,2026-04-09,Asha,tiffin service,expense,cooking_gas,LPG cylinder,136,UPI,yes,255.0
AS-20260409-E085,2026-04-09,Asha,tiffin service,expense,vegetables,Vegetable market,89,cash,no,166.0
AS-20260410-E086,2026-04-10,Asha,tiffin service,expense,cooking_gas,LPG cylinder,58,UPI,yes,108.0
AS-20260411-E087,2026-04-11,Asha,tiffin service,expense,groceries,Kirana groceries,37,UPI,no,71.0
AS-20260411-E088,2026-04-11,Asha,tiffin service,expense,transport,Bus/auto fare,30,cash,no,41.0
AS-20260412-E090,2026-04-12,Asha,tiffin service,expense,medicine,Pharmacy,319,UPI,no,871.0
AS-20260412-I089,2026-04-12,Asha,tiffin service,income,work_income,family tiffin payment,1149,UPI,yes,1190.0
AS-20260414-E091,2026-04-14,Asha,tiffin service,expense,medicine,Pharmacy,304,UPI,no,567.0
AS-20260414-E092,2026-04-14,Asha,tiffin service,expense,vegetables,Vegetable market,94,cash,no,473.0
AS-20260416-E093,2026-04-16,Asha,tiffin service,expense,medicine,Pharmacy,165,UPI,no,308.0
AS-20260416-E094,2026-04-16,Asha,tiffin service,expense,cooking_gas,LPG cylinder,107,UPI,yes,201.0
AS-20260418-E095,2026-04-18,Asha,tiffin service,expense,transport,Bus/auto fare,70,cash,no,131.0
AS-20260419-E097,2026-04-19,Asha,tiffin service,expense,cooking_gas,LPG cylinder,371,UPI,yes,689.0
AS-20260419-I096,2026-04-19,Asha,tiffin service,income,work_income,weekly tiffin collection,929,UPI,yes,1060.0
AS-20260421-E098,2026-04-21,Asha,tiffin service,expense,vegetables,Vegetable market,139,cash,no,550.0
AS-20260421-E099,2026-04-21,Asha,tiffin service,expense,school,School fees/supplies,192,UPI,no,358.0
AS-20260422-E100,2026-04-22,Asha,tiffin service,expense,school,School fees/supplies,125,UPI,no,233.0
AS-20260423-E101,2026-04-23,Asha,tiffin service,expense,cooking_gas,LPG cylinder,81,UPI,yes,152.0
AS-20260425-E102,2026-04-25,Asha,tiffin service,expense,food,Tea/snacks,53,cash,no,99.0
AS-20260426-E104,2026-04-26,Asha,tiffin service,expense,vegetables,Vegetable market,192,cash,no,704.0
AS-20260426-E105,2026-04-26,Asha,tiffin service,expense,transport,Bus/auto fare,107,cash,no,597.0
AS-20260426-I103,2026-04-26,Asha,tiffin service,income,work_income,weekly tiffin collection,797,bank_transfer,yes,896.0
AS-20260427-E106,2026-04-27,Asha,tiffin service,expense,mobile,Mobile recharge,208,UPI,yes,389.0
AS-20260429-E107,2026-04-29,Asha,tiffin service,expense,vegetables,Vegetable market,124,cash,no,265.0
AS-20260430-E108,2026-04-30,Asha,tiffin service,expense,electricity,Electricity bill,92,UPI,yes,173.0
AS-20260430-E109,2026-04-30,Asha,tiffin service,expense,electricity,Electricity bill,60,UPI,yes,113.0
AS-20260501-E110,2026-05-01,Asha,tiffin service,expense,transport,Bus/auto fare,39,cash,no,74.0
AS-20260502-E111,2026-05-02,Asha,tiffin service,expense,food,Tea/snacks,30,cash,no,44.0
AS-20260504-E112,2026-05-04,Asha,tiffin service,expense,groceries,Kirana groceries,30,UPI,no,14.0
AS-20260505-I113,2026-05-05,Asha,tiffin service,income,work_income,family tiffin payment,1024,UPI,yes,1038.0
AS-20260506-E114,2026-05-06,Asha,tiffin service,expense,medicine,Pharmacy,363,UPI,no,675.0
AS-20260507-E115,2026-05-07,Asha,tiffin service,expense,electricity,Electricity bill,236,UPI,yes,439.0
AS-20260508-E116,2026-05-08,Asha,tiffin service,expense,school,School fees/supplies,153,UPI,no,286.0
AS-20260509-E117,2026-05-09,Asha,tiffin service,expense,transport,Bus/auto fare,100,cash,no,186.0
AS-20260510-E118,2026-05-10,Asha,tiffin service,expense,cooking_gas,LPG cylinder,65,UPI,yes,121.0
AS-20260511-E119,2026-05-11,Asha,tiffin service,expense,cooking_gas,LPG cylinder,42,UPI,yes,79.0
AS-20260511-E120,2026-05-11,Asha,tiffin service,expense,school,School fees/supplies,30,UPI,no,49.0
AS-20260512-E122,2026-05-12,Asha,tiffin service,expense,vegetables,Vegetable market,128,cash,no,857.0
AS-20260512-I121,2026-05-12,Asha,tiffin service,income,work_income,family tiffin payment,936,cash,yes,985.0
AS-20260513-E123,2026-05-13,Asha,tiffin service,expense,groceries,Kirana groceries,299,UPI,no,558.0
AS-20260516-E124,2026-05-16,Asha,tiffin service,expense,transport,Bus/auto fare,113,cash,no,445.0
AS-20260516-E125,2026-05-16,Asha,tiffin service,expense,food,Tea/snacks,110,cash,no,335.0
AS-20260518-E126,2026-05-18,Asha,tiffin service,expense,medicine,Pharmacy,117,UPI,no,218.0
AS-20260518-E127,2026-05-18,Asha,tiffin service,expense,vegetables,Vegetable market,76,cash,no,142.0
AS-20260519-E129,2026-05-19,Asha,tiffin service,expense,medicine,Pharmacy,282,UPI,no,525.0
AS-20260519-I128,2026-05-19,Asha,tiffin service,income,work_income,office lunch payment,665,UPI,yes,807.0
AS-20260520-E130,2026-05-20,Asha,tiffin service,expense,school,School fees/supplies,183,UPI,no,342.0
AS-20260524-E131,2026-05-24,Asha,tiffin service,expense,food,Tea/snacks,119,cash,no,223.0
AS-20260525-E132,2026-05-25,Asha,tiffin service,expense,vegetables,Vegetable market,78,cash,no,145.0
AS-20260526-I133,2026-05-26,Asha,tiffin service,income,work_income,family tiffin payment,892,bank_transfer,yes,1037.0
AS-20260527-E134,2026-05-27,Asha,tiffin service,expense,transport,Bus/auto fare,54,cash,no,983.0
AS-20260528-E135,2026-05-28,Asha,tiffin service,expense,cooking_gas,LPG cylinder,344,UPI,yes,639.0
AS-20260601-E136,2026-06-01,Asha,tiffin service,expense,cooking_gas,LPG cylinder,223,UPI,yes,416.0
AS-20260602-E137,2026-06-02,Asha,tiffin service,expense,rent,House rent,145,UPI,yes,271.0
AS-20260603-E138,2026-06-03,Asha,tiffin service,expense,transport,Bus/auto fare,94,cash,no,177.0
AS-20260605-E140,2026-06-05,Asha,tiffin service,expense,medicine,Pharmacy,117,UPI,no,955.0
AS-20260605-I139,2026-06-05,Asha,tiffin service,income,work_income,family tiffin payment,895,cash,yes,1072.0
AS-20260606-E141,2026-06-06,Asha,tiffin service,expense,school,School fees/supplies,334,UPI,no,621.0
AS-20260607-E142,2026-06-07,Asha,tiffin service,expense,groceries,Kirana groceries,217,UPI,no,404.0
AS-20260607-E143,2026-06-07,Asha,tiffin service,expense,medicine,Pharmacy,141,UPI,no,263.0
AS-20260611-E144,2026-06-11,Asha,tiffin service,expense,food,Tea/snacks,92,cash,no,171.0
AS-20260612-E146,2026-06-12,Asha,tiffin service,expense,transport,Bus/auto fare,92,cash,no,903.0
AS-20260612-I145,2026-06-12,Asha,tiffin service,income,work_income,family tiffin payment,824,cash,yes,995.0
AS-20260613-E147,2026-06-13,Asha,tiffin service,expense,vegetables,Vegetable market,108,cash,no,795.0
AS-20260613-E148,2026-06-13,Asha,tiffin service,expense,groceries,Kirana groceries,278,UPI,no,517.0
AS-20260614-E149,2026-06-14,Asha,tiffin service,expense,mobile,Mobile recharge,180,UPI,yes,337.0
AS-20260615-E150,2026-06-15,Asha,tiffin service,expense,medicine,Pharmacy,117,UPI,no,220.0
AS-20260618-E151,2026-06-18,Asha,tiffin service,expense,medicine,Pharmacy,77,UPI,no,143.0
AS-20260618-E152,2026-06-18,Asha,tiffin service,expense,cooking_gas,LPG cylinder,50,UPI,yes,93.0
AS-20260619-E154,2026-06-19,Asha,tiffin service,expense,mobile,Mobile recharge,270,UPI,yes,629.0
AS-20260619-I153,2026-06-19,Asha,tiffin service,income,work_income,family tiffin payment,806,cash,yes,899.0
AS-20260620-E155,2026-06-20,Asha,tiffin service,expense,electricity,Electricity bill,220,UPI,yes,409.0
AS-20260621-E156,2026-06-21,Asha,tiffin service,expense,medicine,Pharmacy,143,UPI,no,266.0
AS-20260622-E157,2026-06-22,Asha,tiffin service,expense,electricity,Electricity bill,93,UPI,yes,173.0
AS-20260623-E158,2026-06-23,Asha,tiffin service,expense,school,School fees/supplies,60,UPI,no,113.0
AS-20260626-E160,2026-06-26,Asha,tiffin service,expense,cooking_gas,LPG cylinder,397,UPI,yes,739.0
AS-20260626-I159,2026-06-26,Asha,tiffin service,income,work_income,office lunch payment,1023,UPI,yes,1136.0
AS-20260627-E161,2026-06-27,Asha,tiffin service,expense,mobile,Mobile recharge,250,UPI,yes,489.0
AS-20260629-E162,2026-06-29,Asha,tiffin service,expense,electricity,Electricity bill,171,UPI,yes,318.0
AS-20260630-E163,2026-06-30,Asha,tiffin service,expense,mobile,Mobile recharge,111,UPI,yes,207.0
ME-20260101-E001,2026-01-01,Meena,beautician,expense,mobile,Mobile recharge,362,UPI,yes,5438.0
ME-20260101-E002,2026-01-01,Meena,beautician,expense,mobile,Mobile recharge,212,UPI,yes,5226.0
ME-20260102-E003,2026-01-02,Meena,beautician,expense,medicine,Pharmacy,202,UPI,no,5024.0
ME-20260104-E005,2026-01-04,Meena,beautician,expense,electricity,Electricity bill,828,UPI,yes,5010.0
ME-20260104-I004,2026-01-04,Meena,beautician,income,work_income,bridal makeup advance,814,bank_transfer,yes,5838.0
ME-20260105-E006,2026-01-05,Meena,beautician,expense,vegetables,Vegetable market,206,cash,no,4804.0
ME-20260106-E007,2026-01-06,Meena,beautician,expense,groceries,Kirana groceries,647,UPI,no,4157.0
ME-20260108-E008,2026-01-08,Meena,beautician,expense,groceries,Kirana groceries,608,UPI,no,3549.0
ME-20260109-E009,2026-01-09,Meena,beautician,expense,electricity,Electricity bill,1242,UPI,yes,2307.0
ME-20260110-E010,2026-01-10,Meena,beautician,expense,food,Tea/snacks,57,cash,no,2250.0
ME-20260111-I011,2026-01-11,Meena,beautician,income,work_income,bridal makeup advance,741,bank_transfer,yes,2991.0
ME-20260112-E012,2026-01-12,Meena,beautician,expense,medicine,Pharmacy,379,UPI,no,2612.0
ME-20260113-E013,2026-01-13,Meena,beautician,expense,transport,Bus/auto fare,147,cash,no,2465.0
ME-20260114-E014,2026-01-14,Meena,beautician,expense,groceries,Kirana groceries,557,UPI,no,1908.0
ME-20260115-E015,2026-01-15,Meena,beautician,expense,mobile,Mobile recharge,243,UPI,yes,1665.0
ME-20260116-E016,2026-01-16,Meena,beautician,expense,school,School fees/supplies,582,UPI,no,1083.0
ME-20260117-E017,2026-01-17,Meena,beautician,expense,school,School fees/supplies,379,UPI,no,704.0
ME-20260118-E019,2026-01-18,Meena,beautician,expense,electricity,Electricity bill,598,UPI,yes,1113.0
ME-20260118-I018,2026-01-18,Meena,beautician,income,work_income,home salon payment,1007,UPI,yes,1711.0
ME-20260119-E020,2026-01-19,Meena,beautician,expense,food,Tea/snacks,32,cash,no,1081.0
ME-20260120-E021,2026-01-20,Meena,beautician,expense,mobile,Mobile recharge,214,UPI,yes,867.0
ME-20260121-E022,2026-01-21,Meena,beautician,expense,transport,Bus/auto fare,133,cash,no,734.0
ME-20260122-E023,2026-01-22,Meena,beautician,expense,electricity,Electricity bill,256,UPI,yes,478.0
ME-20260122-E024,2026-01-22,Meena,beautician,expense,vegetables,Vegetable market,135,cash,no,343.0
ME-20260123-E025,2026-01-23,Meena,beautician,expense,transport,Bus/auto fare,120,cash,no,223.0
ME-20260124-E026,2026-01-24,Meena,beautician,expense,food,Tea/snacks,78,cash,no,145.0
ME-20260125-I027,2026-01-25,Meena,beautician,income,work_income,beauty service payment,926,bank_transfer,yes,1071.0
ME-20260129-E028,2026-01-29,Meena,beautician,expense,vegetables,Vegetable market,194,cash,no,877.0
ME-20260130-E029,2026-01-30,Meena,beautician,expense,vegetables,Vegetable market,204,cash,no,673.0
ME-20260201-E030,2026-02-01,Meena,beautician,expense,transport,Bus/auto fare,113,cash,no,560.0
ME-20260203-E031,2026-02-03,Meena,beautician,expense,food,Tea/snacks,155,cash,no,405.0
ME-20260204-E033,2026-02-04,Meena,beautician,expense,groceries,Kirana groceries,443,UPI,no,823.0
ME-20260204-I032,2026-02-04,Meena,beautician,income,work_income,bridal makeup advance,861,UPI,yes,1266.0
ME-20260205-E034,2026-02-05,Meena,beautician,expense,groceries,Kirana groceries,288,UPI,no,535.0
ME-20260206-E035,2026-02-06,Meena,beautician,expense,mobile,Mobile recharge,187,UPI,yes,348.0
ME-20260207-E036,2026-02-07,Meena,beautician,expense,vegetables,Vegetable market,121,cash,no,227.0
ME-20260210-E037,2026-02-10,Meena,beautician,expense,groceries,Kirana groceries,79,UPI,no,148.0
ME-20260210-E038,2026-02-10,Meena,beautician,expense,school,School fees/supplies,51,UPI,no,97.0
ME-20260211-E040,2026-02-11,Meena,beautician,expense,school,School fees/supplies,321,UPI,no,597.0
ME-20260211-I039,2026-02-11,Meena,beautician,income,work_income,beauty service payment,821,cash,yes,918.0
ME-20260215-E041,2026-02-15,Meena,beautician,expense,vegetables,Vegetable market,105,cash,no,492.0
ME-20260216-E042,2026-02-16,Meena,beautician,expense,mobile,Mobile recharge,172,UPI,yes,320.0
ME-20260218-E044,2026-02-18,Meena,beautician,expense,medicine,Pharmacy,417,UPI,no,775.0
ME-20260218-I043,2026-02-18,Meena,beautician,income,work_income,bridal makeup advance,872,cash,yes,1192.0
ME-20260219-E045,2026-02-19,Meena,beautician,expense,vegetables,Vegetable market,68,cash,no,707.0
ME-20260221-E046,2026-02-21,Meena,beautician,expense,groceries,Kirana groceries,247,UPI,no,460.0
ME-20260222-E047,2026-02-22,Meena,beautician,expense,groceries,Kirana groceries,161,UPI,no,299.0
ME-20260223-E048,2026-02-23,Meena,beautician,expense,groceries,Kirana groceries,104,UPI,no,195.0
ME-20260225-E050,2026-02-25,Meena,beautician,expense,groceries,Kirana groceries,251,UPI,no,677.0
ME-20260225-I049,2026-02-25,Meena,beautician,income,work_income,home salon payment,733,cash,yes,928.0
ME-20260227-E051,2026-02-27,Meena,beautician,expense,food,Tea/snacks,111,cash,no,566.0
ME-20260227-E052,2026-02-27,Meena,beautician,expense,food,Tea/snacks,112,cash,no,454.0
ME-20260228-E053,2026-02-28,Meena,beautician,expense,mobile,Mobile recharge,158,UPI,yes,296.0
ME-20260301-E054,2026-03-01,Meena,beautician,expense,food,Tea/snacks,74,cash,no,222.0
ME-20260302-E055,2026-03-02,Meena,beautician,expense,medicine,Pharmacy,77,UPI,no,145.0
ME-20260304-E057,2026-03-04,Meena,beautician,expense,school,School fees/supplies,366,UPI,no,682.0
ME-20260304-I056,2026-03-04,Meena,beautician,income,work_income,bridal makeup advance,903,cash,yes,1048.0
ME-20260306-E058,2026-03-06,Meena,beautician,expense,electricity,Electricity bill,238,UPI,yes,444.0
ME-20260307-E059,2026-03-07,Meena,beautician,expense,groceries,Kirana groceries,155,UPI,no,289.0
ME-20260309-E060,2026-03-09,Meena,beautician,expense,mobile,Mobile recharge,101,UPI,yes,188.0
ME-20260310-E061,2026-03-10,Meena,beautician,expense,cooking_gas,LPG cylinder,65,UPI,yes,123.0
ME-20260311-E063,2026-03-11,Meena,beautician,expense,food,Tea/snacks,40,cash,no,774.0
ME-20260311-I062,2026-03-11,Meena,beautician,income,work_income,home salon payment,691,UPI,yes,814.0
ME-20260314-E064,2026-03-14,Meena,beautician,expense,cooking_gas,LPG cylinder,270,UPI,yes,504.0
ME-20260316-E065,2026-03-16,Meena,beautician,expense,vegetables,Vegetable market,176,cash,no,328.0
ME-20260316-E066,2026-03-16,Meena,beautician,expense,mobile,Mobile recharge,114,UPI,yes,214.0
ME-20260317-E067,2026-03-17,Meena,beautician,expense,mobile,Mobile recharge,74,UPI,yes,140.0
ME-20260318-E069,2026-03-18,Meena,beautician,expense,medicine,Pharmacy,297,UPI,no,554.0
ME-20260318-I068,2026-03-18,Meena,beautician,income,work_income,beauty service payment,711,bank_transfer,yes,851.0
ME-20260319-E070,2026-03-19,Meena,beautician,expense,medicine,Pharmacy,193,UPI,no,361.0
ME-20260319-E071,2026-03-19,Meena,beautician,expense,mobile,Mobile recharge,126,UPI,yes,235.0
ME-20260320-E072,2026-03-20,Meena,beautician,expense,mobile,Mobile recharge,82,UPI,yes,153.0
ME-20260321-E073,2026-03-21,Meena,beautician,expense,food,Tea/snacks,53,cash,no,100.0
ME-20260323-E074,2026-03-23,Meena,beautician,expense,mobile,Mobile recharge,35,UPI,yes,65.0
ME-20260325-E076,2026-03-25,Meena,beautician,expense,medicine,Pharmacy,313,UPI,no,583.0
ME-20260325-I075,2026-03-25,Meena,beautician,income,work_income,beauty service payment,831,bank_transfer,yes,896.0
ME-20260326-E077,2026-03-26,Meena,beautician,expense,transport,Bus/auto fare,65,cash,no,518.0
ME-20260328-E078,2026-03-28,Meena,beautician,expense,groceries,Kirana groceries,181,UPI,no,337.0
ME-20260329-E079,2026-03-29,Meena,beautician,expense,groceries,Kirana groceries,117,UPI,no,220.0
ME-20260330-E080,2026-03-30,Meena,beautician,expense,mobile,Mobile recharge,77,UPI,yes,143.0
ME-20260401-E081,2026-04-01,Meena,beautician,expense,food,Tea/snacks,50,cash,no,93.0
ME-20260402-E082,2026-04-02,Meena,beautician,expense,rent,House rent,32,UPI,yes,61.0
ME-20260403-E083,2026-04-03,Meena,beautician,expense,electricity,Electricity bill,30,UPI,yes,31.0
ME-20260404-I084,2026-04-04,Meena,beautician,income,work_income,beauty service payment,770,bank_transfer,yes,801.0
ME-20260406-E085,2026-04-06,Meena,beautician,expense,transport,Bus/auto fare,91,cash,no,710.0
ME-20260407-E086,2026-04-07,Meena,beautician,expense,cooking_gas,LPG cylinder,248,UPI,yes,462.0
ME-20260409-E087,2026-04-09,Meena,beautician,expense,medicine,Pharmacy,161,UPI,no,301.0
ME-20260409-E088,2026-04-09,Meena,beautician,expense,mobile,Mobile recharge,105,UPI,yes,196.0
ME-20260410-E089,2026-04-10,Meena,beautician,expense,vegetables,Vegetable market,68,cash,no,128.0
ME-20260411-E091,2026-04-11,Meena,beautician,expense,groceries,Kirana groceries,306,UPI,no,569.0
ME-20260411-I090,2026-04-11,Meena,beautician,income,work_income,bridal makeup advance,747,bank_transfer,yes,875.0
ME-20260412-E092,2026-04-12,Meena,beautician,expense,school,School fees/supplies,199,UPI,no,370.0
ME-20260414-E093,2026-04-14,Meena,beautician,expense,vegetables,Vegetable market,129,cash,no,241.0
ME-20260414-E094,2026-04-14,Meena,beautician,expense,groceries,Kirana groceries,84,UPI,no,157.0
ME-20260415-E095,2026-04-15,Meena,beautician,expense,food,Tea/snacks,54,cash,no,103.0
ME-20260415-E096,2026-04-15,Meena,beautician,expense,electricity,Electricity bill,36,UPI,yes,67.0
ME-20260418-I097,2026-04-18,Meena,beautician,income,work_income,bridal makeup advance,724,UPI,yes,791.0
